Word	Valence	Arousal	Dominance
jury	0.479	0.607	0.789
justice	0.760	0.538	0.787
justifiable	0.786	0.413	0.821
justification	0.622	0.444	0.661
justify	0.612	0.473	0.615
juststop	0.417	0.379	0.364
justthebeginning	0.573	0.451	0.481
jute	0.551	0.216	0.295
juvenile	0.678	0.490	0.526
juxtaposition	0.427	0.500	0.460
kaiser	0.470	0.509	0.690
kale	0.469	0.226	0.411
kaleidoscope	0.615	0.439	0.580
kamikaze	0.204	0.810	0.645
kangaroo	0.716	0.333	0.301
kanji	0.510	0.413	0.425
kappa	0.469	0.375	0.366
kaput	0.281	0.441	0.440
karaoke	0.763	0.649	0.342
karate	0.562	0.833	0.598
karma	0.500	0.510	0.537
karmic	0.357	0.459	0.464
kayak	0.592	0.600	0.364
kazoo	0.503	0.462	0.411
kebab	0.531	0.431	0.377
keel	0.344	0.417	0.419
keen	0.823	0.719	0.806
keep	0.714	0.296	0.547
keeper	0.612	0.457	0.773
keeping	0.592	0.280	0.723
keepsake	0.740	0.307	0.491
keg	0.551	0.389	0.404
kelp	0.479	0.264	0.213
ken	0.438	0.409	0.360
kennel	0.430	0.480	0.406
kerchief	0.520	0.189	0.236
kern	0.438	0.420	0.449
kernel	0.542	0.453	0.462
kerosene	0.302	0.472	0.427
ketchup	0.653	0.338	0.282
kettle	0.357	0.497	0.333
key	0.615	0.275	0.519
keyboard	0.573	0.279	0.349
keyed	0.469	0.497	0.521
keyhole	0.438	0.358	0.356
keynote	0.630	0.431	0.545
keypad	0.604	0.255	0.330
keystone	0.573	0.438	0.491
keyword	0.602	0.520	0.747
khaki	0.594	0.252	0.278
khan	0.463	0.476	0.529
kibble	0.510	0.458	0.404
kick	0.271	0.791	0.526
kickboxing	0.427	0.882	0.651
kicker	0.427	0.711	0.614
kicking	0.327	0.802	0.510
kickoff	0.583	0.600	0.629
kid	0.760	0.453	0.298
kidder	0.708	0.768	0.471
kidding	0.622	0.625	0.457
kiddo	0.674	0.393	0.419
kiddos	0.500	0.480	0.342
kidnap	0.032	0.923	0.535
kidnapped	0.044	0.923	0.455
kidnapper	0.115	0.906	0.618
kidnapping	0.094	0.880	0.561
kidney	0.448	0.363	0.380
kids	0.837	0.500	0.417
kill	0.052	0.941	0.736
killer	0.041	0.971	0.543
killing	0.080	0.959	0.696
killjoy	0.178	0.550	0.324
kiln	0.451	0.423	0.414
kilo	0.438	0.358	0.461
kilogram	0.510	0.260	0.455
kilometer	0.490	0.439	0.485
kilt	0.448	0.346	0.348
kimono	0.643	0.280	0.363
kin	0.543	0.441	0.457
kind	0.918	0.240	0.618
kindergarten	0.833	0.462	0.308
kindling	0.520	0.651	0.421
kindness	0.938	0.350	0.508
kindred	0.760	0.418	0.517
kinematics	0.594	0.480	0.614
kinesiology	0.491	0.480	0.633
kinetic	0.582	0.540	0.537
king	0.677	0.690	0.892
king snake	0.458	0.835	0.647
kingdom	0.714	0.547	0.910
kingpin	0.357	0.626	0.642
kink	0.337	0.634	0.321
kinky	0.449	0.558	0.361
kinship	0.771	0.300	0.652
kiosk	0.500	0.286	0.321
kirk	0.510	0.390	0.388
kiss	0.967	0.813	0.630
kisser	0.844	0.682	0.618
kissy	0.874	0.684	0.402
kit	0.583	0.344	0.420
kitchen	0.700	0.234	0.398
kite	0.643	0.500	0.573
kitten	0.816	0.343	0.260
kiwi	0.646	0.273	0.282
klutz	0.275	0.451	0.356
knack	0.562	0.518	0.820
knapsack	0.551	0.317	0.268
knead	0.490	0.457	0.345
knee	0.520	0.245	0.396
kneecap	0.427	0.360	0.440
kneel	0.426	0.417	0.217
kneeling	0.245	0.435	0.144
knell	0.354	0.500	0.377
knick	0.480	0.509	0.420
knickers	0.552	0.428	0.328
knife	0.344	0.717	0.573
knight	0.780	0.441	0.835
knighthood	0.740	0.660	0.769
knit	0.630	0.144	0.295
knob	0.340	0.360	0.272
knock	0.312	0.531	0.527
knockoff	0.350	0.606	0.240
knockout	0.388	0.755	0.664
knoll	0.434	0.347	0.333
knot	0.541	0.221	0.408
knots	0.418	0.346	0.267
knotted	0.226	0.412	0.294
know	0.765	0.361	0.704
knowing	0.833	0.353	0.658
knowingly	0.500	0.459	0.481
knowledge	0.847	0.430	0.896
knowledgeable	0.865	0.455	0.971
knuckle	0.655	0.333	0.393
knucklehead	0.157	0.485	0.288
knuckles	0.271	0.461	0.320
koala	0.608	0.210	0.311
kook	0.417	0.471	0.398
kooky	0.418	0.582	0.366
kool-aid	0.531	0.318	0.393
kos	0.500	0.471	0.407
kosher	0.469	0.443	0.312
kraut	0.388	0.500	0.390
kris	0.427	0.417	0.407
kryptonite	0.306	0.690	0.588
kudos	0.925	0.587	0.642
kumquat	0.417	0.426	0.390
lab	0.479	0.500	0.600
label	0.582	0.245	0.423
labor	0.594	0.639	0.754
laboratory	0.571	0.490	0.537
labored	0.646	0.451	0.637
laborer	0.561	0.510	0.698
laboring	0.705	0.644	0.737
laborious	0.393	0.635	0.709
labyrinth	0.479	0.811	0.491
lac	0.408	0.418	0.331
lace	0.625	0.200	0.293
laceration	0.143	0.667	0.443
lack	0.250	0.365	0.242
lackey	0.260	0.510	0.166
lacking	0.229	0.375	0.121
lackluster	0.250	0.311	0.264
lacquer	0.510	0.353	0.258
lacrosse	0.573	0.656	0.509
lactose	0.479	0.290	0.433
lad	0.637	0.388	0.336
ladder	0.560	0.438	0.358
laddie	0.668	0.539	0.391
laden	0.392	0.478	0.554
lading	0.388	0.463	0.409
ladle	0.531	0.368	0.352
lady	0.854	0.481	0.602
lady bug	0.490	0.434	0.381
ladybug	0.602	0.400	0.224
ladylike	0.592	0.559	0.538
ladyship	0.561	0.480	0.822
lag	0.220	0.375	0.246
lager	0.584	0.480	0.353
lagging	0.135	0.538	0.277
lagoon	0.660	0.231	0.373
lair	0.469	0.438	0.392
laity	0.510	0.320	0.487
lake	0.694	0.196	0.425
lama	0.560	0.320	0.400
lamb	0.646	0.284	0.321
lame	0.145	0.410	0.217
lament	0.198	0.398	0.352
lamenting	0.156	0.390	0.254
lamina	0.510	0.314	0.408
laminated	0.417	0.304	0.373
lamp	0.510	0.260	0.309
lamppost	0.420	0.337	0.455
lance	0.406	0.620	0.587
lancer	0.417	0.528	0.519
land	0.582	0.260	0.616
landed	0.709	0.620	0.480
landfall	0.521	0.434	0.407
landfill	0.398	0.423	0.324
landing	0.552	0.696	0.596
landlady	0.677	0.303	0.417
landlocked	0.280	0.391	0.367
landlord	0.684	0.500	0.858
landmark	0.694	0.355	0.681
lands	0.594	0.280	0.492
landscape	0.719	0.176	0.423
landscaping	0.823	0.379	0.519
landslide	0.250	0.864	0.530
lane	0.449	0.490	0.451
language	0.677	0.337	0.704
languid	0.281	0.270	0.283
languish	0.235	0.408	0.382
languishing	0.308	0.459	0.353
lanky	0.412	0.426	0.370
lantern	0.622	0.250	0.243
lap	0.583	0.510	0.412
lapdog	0.388	0.490	0.269
lapel	0.460	0.287	0.288
lapse	0.420	0.316	0.281
lapsed	0.357	0.333	0.276
laptop	0.724	0.270	0.519
larceny	0.272	0.821	0.454
lard	0.427	0.239	0.179
larder	0.656	0.290	0.509
large	0.704	0.565	0.736
larger	0.729	0.654	0.763
largo	0.521	0.480	0.517
lark	0.570	0.292	0.352
larva	0.245	0.423	0.254
laryngitis	0.125	0.500	0.370
larynx	0.460	0.420	0.402
lasagna	0.719	0.441	0.396
laser	0.469	0.531	0.769
lash	0.235	0.794	0.609
lass	0.656	0.536	0.433
lasso	0.438	0.460	0.339
lastday	0.309	0.580	0.463
lasting	0.804	0.535	0.745
lastminute	0.418	0.582	0.385
latch	0.395	0.263	0.288
late	0.245	0.358	0.315
lateness	0.214	0.388	0.343
latent	0.469	0.500	0.653
lateral	0.469	0.370	0.322
laterally	0.562	0.255	0.450
latex	0.479	0.413	0.325
lathe	0.510	0.450	0.425
lather	0.635	0.327	0.313
latitude	0.562	0.306	0.490
latrine	0.380	0.353	0.176
latrines	0.214	0.462	0.267
latte	0.615	0.320	0.311
lattice	0.406	0.420	0.349
laud	0.493	0.427	0.383
laudable	0.740	0.472	0.682
laudation	0.542	0.547	0.623
laudatory	0.612	0.417	0.450
laugh	0.980	0.639	0.587
laughable	0.592	0.627	0.298
laughing	0.906	0.596	0.534
laughingstock	0.427	0.779	0.312
laughs	0.812	0.846	0.425
laughter	0.959	0.654	0.588
launch	0.684	0.814	0.598
launcher	0.677	0.745	0.808
launches	0.490	0.663	0.602
launder	0.479	0.450	0.349
laundering	0.439	0.327	0.444
laundry	0.644	0.292	0.377
laureate	0.724	0.402	0.702
laurel	0.646	0.146	0.302
laurels	0.684	0.279	0.545
lava	0.280	0.539	0.615
lavage	0.615	0.467	0.361
lavatory	0.510	0.400	0.259
lavender	0.812	0.198	0.388
lavish	0.792	0.648	0.730
law	0.740	0.590	0.815
lawful	0.660	0.394	0.780
lawless	0.219	0.690	0.420
lawlessness	0.156	0.804	0.509
lawman	0.510	0.523	0.786
lawn	0.686	0.153	0.192
lawnmower	0.480	0.531	0.355
lawsuit	0.219	0.794	0.611
lawyer	0.521	0.569	0.784
lax	0.430	0.401	0.300
laxative	0.271	0.550	0.528
lay	0.521	0.336	0.491
layaway	0.429	0.510	0.451
layer	0.500	0.208	0.366
layered	0.571	0.306	0.436
layman	0.531	0.339	0.424
layout	0.615	0.442	0.557
layover	0.520	0.355	0.500
laziness	0.271	0.240	0.132
lazy	0.392	0.264	0.096
lazyday	0.337	0.319	0.145
lea	0.583	0.294	0.358
lead	0.323	0.657	0.455
leaded	0.439	0.625	0.595
leader	0.833	0.582	0.926
leadership	0.870	0.690	0.983
leading	0.823	0.698	0.954
leads	0.530	0.471	0.615
leaf	0.583	0.156	0.294
leaflet	0.490	0.206	0.375
leafy	0.653	0.530	0.700
league	0.656	0.340	0.462
leak	0.378	0.833	0.520
leakage	0.188	0.731	0.528
leaky	0.170	0.686	0.288
lean	0.734	0.353	0.438
leaned	0.570	0.373	0.490
leaning	0.480	0.409	0.352
leap	0.750	0.663	0.667
learn	0.833	0.643	0.829
learned	0.704	0.462	0.543
learner	0.698	0.475	0.398
learning	0.833	0.588	0.574
lease	0.520	0.463	0.545
leash	0.320	0.347	0.427
leather	0.510	0.324	0.341
leathery	0.418	0.471	0.411
leave	0.375	0.315	0.295
leavemealone	0.240	0.472	0.402
leaving	0.163	0.542	0.371
lecherous	0.135	0.704	0.376
lecture	0.594	0.462	0.737
lecturer	0.677	0.549	0.736
ledge	0.406	0.235	0.339
ledger	0.510	0.362	0.609
lee	0.510	0.269	0.296
leech	0.250	0.623	0.268
leeches	0.115	0.698	0.295
leer	0.612	0.348	0.509
leery	0.337	0.640	0.410
lees	0.360	0.567	0.406
leeway	0.562	0.577	0.569
left	0.354	0.370	0.361
leftout	0.229	0.365	0.245
leftover	0.490	0.460	0.222
leftovers	0.219	0.350	0.116
lefty	0.490	0.406	0.379
leg	0.510	0.373	0.313
legacy	0.792	0.529	0.827
legal	0.653	0.387	0.887
legality	0.765	0.343	0.713
legalize	0.510	0.460	0.818
legalized	0.760	0.440	0.855
legally	0.771	0.482	0.842
legend	0.837	0.519	0.750
legendary	0.857	0.537	0.863
legibility	0.771	0.481	0.580
legible	0.673	0.279	0.509
legion	0.469	0.570	0.852
legislate	0.571	0.582	0.736
legislation	0.531	0.418	0.808
legislative	0.633	0.365	0.800
legislator	0.490	0.580	0.877
legislature	0.540	0.435	0.698
legit	0.747	0.427	0.849
legitimacy	0.823	0.420	0.855
legitimate	0.792	0.363	0.841
lego	0.600	0.294	0.189
legs	0.479	0.407	0.228
legume	0.520	0.302	0.465
legwork	0.622	0.560	0.509
leisure	0.631	0.429	0.421
leisurely	0.806	0.250	0.367
lemma	0.530	0.284	0.391
lemon	0.596	0.317	0.316
lemonade	0.661	0.287	0.412
lend	0.520	0.461	0.508
lender	0.340	0.520	0.703
lending	0.510	0.585	0.462
length	0.479	0.308	0.533
lengthen	0.619	0.481	0.566
lengthened	0.448	0.530	0.474
lengthening	0.673	0.530	0.528
lengthwise	0.571	0.470	0.528
lengthy	0.570	0.342	0.528
leniency	0.517	0.436	0.545
lenient	0.520	0.451	0.340
lens	0.420	0.245	0.472
leopard	0.542	0.755	0.611
leotard	0.510	0.429	0.391
leper	0.075	0.589	0.206
leprechaun	0.417	0.480	0.417
leprosy	0.130	0.670	0.349
lesbian	0.385	0.660	0.415
lesbianism	0.327	0.725	0.440
lesion	0.240	0.623	0.361
less	0.265	0.240	0.115
lessee	0.417	0.474	0.595
lessen	0.235	0.284	0.255
lessening	0.375	0.300	0.277
lesser	0.396	0.167	0.211
lesson	0.704	0.577	0.593
lessor	0.552	0.490	0.623
let	0.427	0.373	0.307
lethal	0.156	0.800	0.745
lethargic	0.214	0.245	0.375
lethargy	0.194	0.302	0.316
letter	0.635	0.279	0.342
lettered	0.542	0.361	0.482
letterhead	0.450	0.316	0.462
lettering	0.541	0.180	0.431
letters	0.663	0.327	0.364
lettuce	0.594	0.163	0.291
leukemia	0.094	0.572	0.351
levee	0.520	0.324	0.490
level	0.622	0.277	0.491
lever	0.400	0.343	0.402
leverage	0.459	0.500	0.629
levitate	0.561	0.598	0.551
levy	0.438	0.420	0.491
lewd	0.188	0.673	0.412
lexicon	0.561	0.463	0.615
ley	0.604	0.389	0.764
liabilities	0.429	0.608	0.694
liability	0.646	0.500	0.802
liable	0.656	0.519	0.821
liaison	0.698	0.337	0.472
liar	0.042	0.606	0.339
libel	0.128	0.694	0.403
libelous	0.125	0.735	0.436
liberal	0.565	0.565	0.755
liberalism	0.562	0.712	0.750
liberate	0.760	0.632	0.708
liberated	0.780	0.630	0.683
liberating	0.915	0.620	0.745
liberation	0.745	0.614	0.857
liberty	0.938	0.579	0.836
libido	0.770	0.602	0.571
librarian	0.625	0.135	0.509
library	0.776	0.122	0.549
libretto	0.612	0.328	0.406
lice	0.133	0.500	0.194
license	0.500	0.394	0.702
lichen	0.418	0.388	0.463
lick	0.470	0.482	0.330
licorice	0.677	0.310	0.400
lid	0.490	0.189	0.255
lie	0.130	0.725	0.272
liege	0.479	0.426	0.452
lien	0.396	0.580	0.441
lieu	0.427	0.410	0.312
lieutenant	0.594	0.612	0.920
life	0.918	0.615	0.824
lifeblood	0.673	0.690	0.708
lifeboat	0.724	0.425	0.533
lifeguard	0.870	0.606	0.786
lifeisgood	0.812	0.575	0.611
lifeless	0.042	0.333	0.163
lifelike	0.776	0.567	0.765
lifeline	0.735	0.552	0.496
lifelong	0.823	0.330	0.640
lifer	0.427	0.519	0.398
lifesaver	0.908	0.745	0.703
lifestyle	0.750	0.472	0.645
lifesucks	0.167	0.637	0.377
lifetime	0.816	0.559	0.736
lift	0.704	0.518	0.656
lifted	0.714	0.441	0.657
liftoff	0.531	0.667	0.588
ligament	0.490	0.410	0.510
ligation	0.344	0.423	0.396
ligature	0.478	0.430	0.447
light	0.771	0.320	0.519
light year	0.719	0.425	0.593
lightbulb	0.573	0.255	0.302
lighten	0.688	0.438	0.362
lightheaded	0.347	0.620	0.255
lighthouse	0.622	0.240	0.510
lighting	0.765	0.440	0.750
lightness	0.794	0.360	0.526
lightning	0.429	0.683	0.595
lights	0.750	0.480	0.575
lightweight	0.670	0.300	0.358
likable	0.865	0.480	0.663
like	0.719	0.353	0.446
likelihood	0.760	0.469	0.542
likely	0.633	0.356	0.454
likeness	0.688	0.410	0.561
likewise	0.651	0.217	0.312
liking	0.963	0.604	0.589
lilac	0.688	0.180	0.357
lily	0.640	0.245	0.263
limb	0.510	0.397	0.427
limber	0.688	0.729	0.673
limbo	0.385	0.284	0.309
lime	0.594	0.240	0.415
limelight	0.667	0.639	0.694
limestone	0.602	0.323	0.381
limey	0.469	0.347	0.415
limit	0.427	0.453	0.500
limitation	0.190	0.431	0.225
limited	0.229	0.273	0.380
limitless	0.688	0.574	0.655
limo	0.760	0.367	0.667
limousine	0.638	0.531	0.640
limp	0.393	0.440	0.172
lin	0.416	0.362	0.343
line	0.541	0.180	0.353
lineage	0.633	0.465	0.721
lineal	0.521	0.170	0.474
linear	0.646	0.250	0.472
linebacker	0.490	0.660	0.543
lined	0.438	0.367	0.424
linen	0.656	0.323	0.286
liner	0.469	0.396	0.400
lines	0.542	0.317	0.330
lineup	0.635	0.427	0.638
linger	0.480	0.311	0.412
lingerie	0.543	0.463	0.308
lingering	0.630	0.643	0.667
lingo	0.448	0.364	0.447
lingual	0.500	0.457	0.315
linguini	0.625	0.338	0.355
linguist	0.583	0.330	0.634
linguistic	0.646	0.351	0.618
linguistics	0.552	0.390	0.618
lining	0.571	0.363	0.472
link	0.427	0.264	0.491
linoleum	0.510	0.378	0.402
lint	0.388	0.173	0.214
lion	0.532	0.717	0.682
lip	0.541	0.348	0.443
liposuction	0.292	0.684	0.464
lipstick	0.653	0.429	0.306
liquefaction	0.449	0.622	0.535
liquefied	0.562	0.463	0.342
liqueur	0.670	0.612	0.389
liquid	0.562	0.235	0.307
liquidate	0.327	0.654	0.664
liquidation	0.417	0.625	0.649
liquidator	0.354	0.663	0.750
liquidity	0.688	0.529	0.534
liquor	0.603	0.702	0.433
lira	0.530	0.255	0.370
lisp	0.365	0.412	0.288
list	0.528	0.260	0.402
listen	0.771	0.360	0.445
listener	0.667	0.375	0.403
listenting	0.640	0.377	0.491
listing	0.438	0.273	0.432
listless	0.219	0.350	0.231
listneing	0.531	0.370	0.433
litany	0.510	0.365	0.482
liter	0.573	0.208	0.382
literacy	0.730	0.306	0.638
literal	0.570	0.353	0.574
literally	0.571	0.353	0.673
literary	0.719	0.324	0.667
literature	0.708	0.250	0.598
lithe	0.656	0.596	0.602
lithium	0.417	0.330	0.430
lithograph	0.551	0.327	0.481
lithography	0.561	0.346	0.473
lithology	0.519	0.378	0.525
lithosphere	0.473	0.333	0.689
litigant	0.219	0.577	0.696
litigate	0.260	0.819	0.712
litigation	0.388	0.760	0.602
litigator	0.429	0.630	0.732
litigious	0.360	0.736	0.632
litter	0.255	0.551	0.110
little	0.385	0.160	0.213
littlethings	0.740	0.311	0.242
littoral	0.551	0.387	0.452
liturgy	0.490	0.327	0.568
live	0.880	0.673	0.676
livelife	0.792	0.624	0.664
livelihood	0.698	0.481	0.721
lively	0.847	0.810	0.642
liven	0.708	0.713	0.673
liver	0.439	0.290	0.385
livery	0.510	0.417	0.429
livestock	0.729	0.420	0.519
livid	0.469	0.788	0.490
living	0.865	0.608	0.727
lizard	0.378	0.375	0.324
llama	0.490	0.590	0.519
lml	0.448	0.519	0.385
load	0.385	0.417	0.528
loader	0.562	0.377	0.686
loaf	0.755	0.250	0.277
loafer	0.235	0.396	0.254
loam	0.469	0.373	0.673
loan	0.552	0.480	0.352
loath	0.135	0.714	0.445
loathe	0.094	0.730	0.429
loathful	0.068	0.740	0.358
loathing	0.083	0.796	0.368
loathsome	0.120	0.694	0.343
lobby	0.625	0.427	0.472
lobbyist	0.385	0.527	0.565
lobe	0.459	0.364	0.352
lobotomy	0.296	0.598	0.402
lobster	0.571	0.356	0.291
local	0.656	0.269	0.452
locale	0.449	0.387	0.352
locality	0.582	0.336	0.464
localization	0.552	0.330	0.545
localize	0.520	0.481	0.679
localized	0.490	0.460	0.621
locate	0.583	0.520	0.786
location	0.615	0.375	0.546
locator	0.480	0.426	0.614
loch	0.449	0.235	0.425
lock	0.271	0.585	0.600
locker	0.439	0.300	0.393
locket	0.615	0.327	0.616
locksmith	0.510	0.417	0.491
lockup	0.240	0.602	0.617
loco	0.306	0.774	0.226
locomotion	0.470	0.600	0.595
locomotive	0.542	0.650	0.721
locust	0.479	0.412	0.417
lode	0.365	0.423	0.318
lodge	0.656	0.356	0.474
lodger	0.480	0.448	0.304
lodging	0.713	0.286	0.527
loft	0.510	0.378	0.343
lofty	0.755	0.306	0.569
log	0.591	0.371	0.395
logarithm	0.520	0.439	0.551
logarithmic	0.469	0.458	0.606
logic	0.646	0.245	0.819
logical	0.805	0.400	0.648
logistics	0.633	0.500	0.730
logo	0.469	0.296	0.565
logotype	0.480	0.337	0.509
loin	0.420	0.298	0.379
lollipop	0.628	0.483	0.357
lone	0.198	0.204	0.367
loneliness	0.146	0.182	0.222
lonely	0.250	0.226	0.238
loner	0.347	0.152	0.221
lonesome	0.281	0.213	0.336
long	0.541	0.353	0.543
longboat	0.551	0.454	0.490
longevity	0.750	0.353	0.745
longing	0.604	0.434	0.560
longitude	0.479	0.310	0.516
longitudinal	0.542	0.398	0.582
longitudinally	0.541	0.380	0.569
longtime	0.362	0.442	0.546
loo	0.385	0.357	0.283
look	0.719	0.429	0.615
looker	0.583	0.354	0.451
lookout	0.698	0.538	0.639
loom	0.531	0.245	0.325
looming	0.367	0.750	0.528
loon	0.429	0.392	0.325
loony	0.439	0.474	0.295
loop	0.516	0.343	0.317
loophole	0.406	0.755	0.491
loopy	0.438	0.520	0.195
loose	0.573	0.312	0.365
loosen	0.487	0.337	0.218
loosening	0.378	0.343	0.295
loot	0.604	0.711	0.537
lop	0.429	0.363	0.426
lopsided	0.125	0.500	0.272
lord	0.618	0.327	0.684
lords	0.571	0.356	0.781
lordship	0.573	0.557	0.736
lore	0.719	0.373	0.768
lorry	0.521	0.481	0.402
lose	0.115	0.538	0.176
loser	0.083	0.510	0.155
losing	0.076	0.686	0.223
loss	0.062	0.567	0.211
lost	0.199	0.663	0.148
lot	0.531	0.215	0.370
lotion	0.724	0.261	0.188
lots	0.604	0.417	0.424
lottery	0.771	0.731	0.491
lotto	0.760	0.635	0.475
lotus	0.604	0.377	0.510
loud	0.573	0.650	0.870
loudly	0.541	0.755	0.667
loudmouth	0.337	0.615	0.456
loudness	0.350	0.582	0.620
loudspeaker	0.490	0.735	0.689
lounge	0.592	0.245	0.466
lounging	0.735	0.167	0.449
louse	0.184	0.439	0.154
lousy	0.125	0.482	0.234
lovable	0.948	0.335	0.565
love	1.000	0.519	0.673
loved	0.927	0.452	0.582
lovee	0.949	0.592	0.611
loveee	0.927	0.592	0.693
loveless	0.102	0.365	0.216
lovelife	0.837	0.610	0.592
loveliness	0.959	0.509	0.750
lovelovelove	0.948	0.582	0.554
lovely	0.917	0.456	0.741
lovemaking	0.969	0.927	0.814
lovemylife	0.896	0.800	0.573
lover	0.881	0.816	0.750
lovesick	0.796	0.842	0.500
lovethis	0.867	0.552	0.526
loving	0.948	0.612	0.636
lovinglife	0.979	0.404	0.673
lovinlife	0.714	0.460	0.544
low	0.292	0.220	0.102
lowdown	0.306	0.441	0.441
lower	0.327	0.296	0.258
lowering	0.286	0.363	0.236
lowest	0.312	0.304	0.129
lowlands	0.323	0.290	0.331
lowlife	0.296	0.529	0.309
lowly	0.562	0.294	0.417
lox	0.490	0.373	0.318
loyal	0.896	0.265	0.657
loyalty	0.885	0.406	0.793
lsd	0.375	0.471	0.390
luau	0.594	0.545	0.296
lube	0.552	0.490	0.411
lubricant	0.656	0.550	0.454
lubricate	0.552	0.490	0.470
lubrication	0.624	0.646	0.491
lucid	0.771	0.490	0.705
luck	0.854	0.490	0.717
luckiest	0.917	0.690	0.852
lucky	0.960	0.610	0.793
luckygirl	0.781	0.712	0.471
lucrative	0.729	0.519	0.798
ludicrous	0.137	0.553	0.274
lug	0.344	0.443	0.340
luggage	0.561	0.226	0.319
lukewarm	0.573	0.300	0.241
lull	0.602	0.130	0.402
lullaby	0.796	0.156	0.339
lumbar	0.323	0.418	0.342
lumber	0.517	0.184	0.373
lumbering	0.354	0.561	0.655
lumberjack	0.500	0.660	0.726
luminescent	0.796	0.550	0.526
luminous	0.918	0.392	0.783
lump	0.438	0.337	0.463
lumpy	0.271	0.378	0.365
lunacy	0.132	0.847	0.330
lunar	0.562	0.296	0.427
lunatic	0.125	0.792	0.442
lunch	0.880	0.410	0.542
lunchbox	0.663	0.346	0.346
luncheon	0.837	0.240	0.441
lunchtime	0.896	0.398	0.444
lung	0.510	0.292	0.629
lunge	0.354	0.721	0.509
lungs	0.531	0.352	0.555
lurch	0.404	0.694	0.363
lure	0.439	0.565	0.300
lurid	0.186	0.833	0.536
lurk	0.219	0.740	0.655
lurking	0.421	0.781	0.575
luscious	0.885	0.552	0.545
lush	0.740	0.783	0.833
lust	0.469	0.944	0.518
luster	0.833	0.566	0.558
lustful	0.427	0.896	0.643
lustrous	0.771	0.606	0.598
lusty	0.469	0.941	0.673
lute	0.459	0.407	0.500
luxuriant	0.760	0.745	0.812
luxurious	0.947	0.644	0.754
luxury	0.932	0.673	0.750
lycra	0.520	0.449	0.328
lye	0.378	0.396	0.443
lying	0.208	0.704	0.317
lymph	0.398	0.510	0.390
lymphatic	0.380	0.509	0.472
lymphoma	0.208	0.645	0.330
lynch	0.167	0.885	0.482
lynching	0.135	0.920	0.548
lynx	0.510	0.590	0.567
lyre	0.719	0.347	0.414
lyric	0.702	0.269	0.464
lyrical	0.708	0.451	0.618
lyrics	0.582	0.214	0.333
macadamia	0.635	0.330	0.434
macarena	0.802	0.601	0.368
macaroni	0.816	0.410	0.382
mace	0.450	0.412	0.415
mach	0.541	0.432	0.463
machete	0.260	0.690	0.474
machine	0.510	0.500	0.707
machinery	0.458	0.615	0.629
machinist	0.490	0.598	0.721
macho	0.643	0.690	0.676
mackerel	0.418	0.423	0.426
macro	0.552	0.469	0.647
mad	0.219	0.873	0.277
madam	0.580	0.308	0.571
madame	0.604	0.500	0.635
madden	0.329	0.602	0.457
madder	0.323	0.853	0.267
mademoiselle	0.752	0.459	0.461
mademyday	0.694	0.573	0.537
madhouse	0.156	0.736	0.440
madman	0.135	0.880	0.312
madness	0.104	0.804	0.440
maestro	0.823	0.357	0.849
mafia	0.204	0.867	0.676
magazine	0.615	0.332	0.377
mage	0.622	0.373	0.453
magenta	0.635	0.275	0.415
maggot	0.235	0.500	0.235
magic	0.868	0.663	0.578
magical	0.875	0.651	0.595
magician	0.714	0.657	0.551
magistrate	0.587	0.541	0.904
magma	0.323	0.623	0.609
magna	0.605	0.490	0.652
magnate	0.627	0.708	0.868
magnesium	0.542	0.320	0.321
magnet	0.571	0.318	0.553
magnetic	0.612	0.529	0.673
magnetism	0.630	0.529	0.741
magnetite	0.531	0.490	0.581
magnification	0.890	0.615	0.880
magnificence	0.802	0.810	0.920
magnificent	1.000	0.680	0.886
magnifier	0.469	0.216	0.345
magnify	0.729	0.561	0.839
magnifying	0.594	0.265	0.406
magnitude	0.608	0.613	0.774
magnolia	0.558	0.343	0.379
magpie	0.500	0.458	0.327
mahi mahi	0.510	0.410	0.398
mahjong	0.556	0.418	0.440
mahogany	0.602	0.225	0.393
maid	0.406	0.324	0.300
maiden	0.755	0.396	0.461
mail	0.615	0.231	0.548
mailbox	0.573	0.222	0.404
mailing	0.688	0.324	0.375
mailman	0.659	0.418	0.462
maim	0.133	0.724	0.496
main	0.667	0.510	0.811
mainframe	0.531	0.490	0.557
mainland	0.680	0.407	0.806
mainstay	0.694	0.400	0.713
mainstream	0.653	0.527	0.660
maintain	0.684	0.398	0.647
maintenance	0.592	0.410	0.545
majestic	0.948	0.731	0.906
majesty	0.823	0.602	0.955
major	0.684	0.538	0.874
majority	0.684	0.560	0.930
make	0.684	0.420	0.480
makeover	0.771	0.510	0.596
maker	0.698	0.544	0.706
makeshift	0.479	0.611	0.389
makesmehappy	0.894	0.663	0.712
makesmemad	0.296	0.643	0.500
makeup	0.740	0.333	0.331
makingdisciples	0.684	0.402	0.664
malady	0.190	0.686	0.304
malaise	0.150	0.600	0.161
malaria	0.125	0.653	0.304
malarkey	0.396	0.500	0.465
male	0.612	0.532	0.695
malevolent	0.094	0.854	0.613
malfeasance	0.062	0.745	0.325
malformation	0.083	0.602	0.357
malfunction	0.125	0.577	0.229
malice	0.073	0.811	0.492
malicious	0.177	0.765	0.607
malign	0.140	0.765	0.481
malignancy	0.149	0.814	0.614
malignant	0.143	0.824	0.370
maligned	0.102	0.684	0.218
